program,opt,avg_real
01_branch_deadcode,O0,0.009913
01_branch_deadcode,O1,0.009484
01_branch_deadcode,O2,0.008537
01_branch_deadcode,O3,0.008058
01_branch_deadcode,Os,0.007981
02_cse_constantprop,O0,0.010574
02_cse_constantprop,O1,0.009370
02_cse_constantprop,O2,0.009329
02_cse_constantprop,O3,0.008896
02_cse_constantprop,Os,0.009419
03_strength_induction,O0,0.011332
03_strength_induction,O1,0.008917
03_strength_induction,O2,0.010359
03_strength_induction,O3,0.009199
03_strength_induction,Os,0.009017
04_loop_invariant_freq,O0,0.011122
04_loop_invariant_freq,O1,0.009072
04_loop_invariant_freq,O2,0.008513
04_loop_invariant_freq,O3,0.008334
04_loop_invariant_freq,Os,0.008508
05_loop_fusion_jamming,O0,0.018922
05_loop_fusion_jamming,O1,0.011594
05_loop_fusion_jamming,O2,0.012815
05_loop_fusion_jamming,O3,0.013047
05_loop_fusion_jamming,Os,0.012630
06_inlining_unrolling,O0,0.010111
06_inlining_unrolling,O1,0.009507
06_inlining_unrolling,O2,0.009313
06_inlining_unrolling,O3,0.009789
06_inlining_unrolling,Os,0.008810
07_combined_program_1,O0,0.015883
07_combined_program_1,O1,0.011624
07_combined_program_1,O2,0.011642
07_combined_program_1,O3,0.011811
07_combined_program_1,Os,0.012675
08_combined_program_2,O0,0.017780
08_combined_program_2,O1,0.012123
08_combined_program_2,O2,0.012086
08_combined_program_2,O3,0.011628
08_combined_program_2,Os,0.011803
