program,opt,text,data,bss,dec,hex,bytes
01_constant_folding,O0,1575,600,8,2183,887,16712
01_constant_folding,O1,1601,600,8,2209,8a1,16720
01_constant_folding,O2,1601,600,8,2209,8a1,16720
01_constant_folding,O3,1601,600,8,2209,8a1,16720
01_constant_folding,Os,1601,600,8,2209,8a1,16720
02_dead_code_elimination,O0,1450,544,8,2002,7d2,16480
02_dead_code_elimination,O1,1410,544,8,1962,7aa,16480
02_dead_code_elimination,O2,1410,544,8,1962,7aa,16480
02_dead_code_elimination,O3,1410,544,8,1962,7aa,16480
02_dead_code_elimination,Os,1410,544,8,1962,7aa,16480
03_common_subexpression_elimination,O0,1591,600,8,2199,897,16728
03_common_subexpression_elimination,O1,1601,600,8,2209,8a1,16736
03_common_subexpression_elimination,O2,1601,600,8,2209,8a1,16736
03_common_subexpression_elimination,O3,1601,600,8,2209,8a1,16736
03_common_subexpression_elimination,Os,1601,600,8,2209,8a1,16736
04_strength_reduction,O0,1591,600,8,2199,897,16712
04_strength_reduction,O1,1601,600,8,2209,8a1,16720
04_strength_reduction,O2,1601,600,8,2209,8a1,16720
04_strength_reduction,O3,1601,600,8,2209,8a1,16720
04_strength_reduction,Os,1601,600,8,2209,8a1,16720
05_frequency_reduction_loop_invariant,O0,1607,600,8,2215,8a7,16728
05_frequency_reduction_loop_invariant,O1,1601,600,8,2209,8a1,16736
05_frequency_reduction_loop_invariant,O2,1601,600,8,2209,8a1,16736
05_frequency_reduction_loop_invariant,O3,1601,600,8,2209,8a1,16736
05_frequency_reduction_loop_invariant,Os,1601,600,8,2209,8a1,16736
06_loop_unrolling,O0,1639,600,8,2247,8c7,16720
06_loop_unrolling,O1,1410,544,8,1962,7aa,16480
06_loop_unrolling,O2,1410,544,8,1962,7aa,16480
06_loop_unrolling,O3,1410,544,8,1962,7aa,16480
06_loop_unrolling,Os,1410,544,8,1962,7aa,16480
07_loop_jamming_fusion,O0,1908,608,8,2524,9dc,16768
07_loop_jamming_fusion,O1,1862,608,8,2478,9ae,16776
07_loop_jamming_fusion,O2,1878,608,8,2494,9be,16776
07_loop_jamming_fusion,O3,1950,608,8,2566,a06,16776
07_loop_jamming_fusion,Os,1846,608,8,2462,99e,16776
08_unnecessary_computation_large,O0,1689,600,8,2297,8f9,16728
08_unnecessary_computation_large,O1,1683,600,8,2291,8f3,16728
08_unnecessary_computation_large,O2,1699,600,8,2307,903,16728
08_unnecessary_computation_large,O3,1699,600,8,2307,903,16728
08_unnecessary_computation_large,Os,1651,600,8,2259,8d3,16728
09_frequency_reduction_constant_in_loop_large,O0,1673,600,8,2281,8e9,16736
09_frequency_reduction_constant_in_loop_large,O1,1683,600,8,2291,8f3,16744
09_frequency_reduction_constant_in_loop_large,O2,1683,600,8,2291,8f3,16744
09_frequency_reduction_constant_in_loop_large,O3,1683,600,8,2291,8f3,16744
09_frequency_reduction_constant_in_loop_large,Os,1651,600,8,2259,8d3,16744
10_loop_unrolling_large_array,O0,1737,600,8000032,8002369,7a1b41,16752
10_loop_unrolling_large_array,O1,1699,600,8000032,8002331,7a1b1b,16760
10_loop_unrolling_large_array,O2,1715,600,8000032,8002347,7a1b2b,16760
10_loop_unrolling_large_array,O3,1849,600,8000032,8002481,7a1bb1,16760
10_loop_unrolling_large_array,Os,1651,600,8000032,8002283,7a1aeb,16760
11_loop_fusion_large,O0,1929,600,18000032,18002561,112b281,16784
11_loop_fusion_large,O1,1795,600,12000032,12002427,b7247b,16768
11_loop_fusion_large,O2,1779,600,12000032,12002411,b7246b,16768
11_loop_fusion_large,O3,2257,600,12000032,12002889,b72649,16768
11_loop_fusion_large,Os,1715,600,12000032,12002347,b7242b,16768
