program,opt,avg_real,avg_user,avg_sys
01_constant_folding,O0,0.008189,0.000000,0.000000
01_constant_folding,O1,0.008370,0.000000,0.000000
01_constant_folding,O2,0.007672,0.000000,0.000000
01_constant_folding,O3,0.007208,0.000000,0.000000
01_constant_folding,Os,0.007224,0.000000,0.000000
02_dead_code_elimination,O0,0.008829,0.000000,0.000000
02_dead_code_elimination,O1,0.007422,0.000000,0.000000
02_dead_code_elimination,O2,0.007944,0.000000,0.000000
02_dead_code_elimination,O3,0.007933,0.000000,0.000000
02_dead_code_elimination,Os,0.007253,0.000000,0.000000
03_common_subexpression_elimination,O0,0.008569,0.000000,0.000000
03_common_subexpression_elimination,O1,0.007226,0.000000,0.000000
03_common_subexpression_elimination,O2,0.008051,0.000000,0.000000
03_common_subexpression_elimination,O3,0.007591,0.000000,0.000000
03_common_subexpression_elimination,Os,0.007171,0.000000,0.000000
04_strength_reduction,O0,0.006851,0.000000,0.000000
04_strength_reduction,O1,0.008695,0.000000,0.000000
04_strength_reduction,O2,0.008470,0.000000,0.000000
04_strength_reduction,O3,0.008355,0.000000,0.000000
04_strength_reduction,Os,0.007456,0.000000,0.000000
05_frequency_reduction_loop_invariant,O0,0.007626,0.000000,0.000000
05_frequency_reduction_loop_invariant,O1,0.008233,0.000000,0.000000
05_frequency_reduction_loop_invariant,O2,0.008346,0.000000,0.000000
05_frequency_reduction_loop_invariant,O3,0.007585,0.000000,0.000000
05_frequency_reduction_loop_invariant,Os,0.008662,0.000000,0.000000
06_loop_unrolling,O0,0.007218,0.000000,0.000000
06_loop_unrolling,O1,0.008153,0.000000,0.000000
06_loop_unrolling,O2,0.010402,0.000000,0.000000
06_loop_unrolling,O3,0.008614,0.000000,0.000000
06_loop_unrolling,Os,0.010711,0.000000,0.000000
07_loop_jamming_fusion,O0,0.008040,0.000000,0.000000
07_loop_jamming_fusion,O1,0.006948,0.000000,0.000000
07_loop_jamming_fusion,O2,0.008837,0.000000,0.000000
07_loop_jamming_fusion,O3,0.007813,0.000000,0.000000
07_loop_jamming_fusion,Os,0.007358,0.000000,0.000000
08_unnecessary_computation_large,O0,0.008985,0.000000,0.000000
08_unnecessary_computation_large,O1,0.008525,0.000000,0.000000
08_unnecessary_computation_large,O2,0.008943,0.000000,0.000000
08_unnecessary_computation_large,O3,0.009885,0.000000,0.000000
08_unnecessary_computation_large,Os,0.009205,0.000000,0.000000
09_frequency_reduction_constant_in_loop_large,O0,0.010478,0.000000,0.000000
09_frequency_reduction_constant_in_loop_large,O1,0.009820,0.000000,0.000000
09_frequency_reduction_constant_in_loop_large,O2,0.009870,0.000000,0.000000
09_frequency_reduction_constant_in_loop_large,O3,0.009604,0.000000,0.000000
09_frequency_reduction_constant_in_loop_large,Os,0.009457,0.000000,0.000000
10_loop_unrolling_large_array,O0,0.020102,0.000000,0.000000
10_loop_unrolling_large_array,O1,0.012118,0.000000,0.000000
10_loop_unrolling_large_array,O2,0.013107,0.000000,0.000000
10_loop_unrolling_large_array,O3,0.012545,0.000000,0.000000
10_loop_unrolling_large_array,Os,0.013221,0.000000,0.000000
11_loop_fusion_large,O0,0.025095,0.000000,0.000000
11_loop_fusion_large,O1,0.016338,0.000000,0.000000
11_loop_fusion_large,O2,0.016038,0.000000,0.000000
11_loop_fusion_large,O3,0.014700,0.000000,0.000000
11_loop_fusion_large,Os,0.019540,0.000000,0.000000
