program,opt,avg_real,avg_user,avg_sys
01_branch_deadcode,O0,0.008151,0.000000,0.000000
01_branch_deadcode,O1,0.011772,0.000000,0.000000
01_branch_deadcode,O2,0.007742,0.000000,0.000000
01_branch_deadcode,O3,0.009498,0.000000,0.000000
01_branch_deadcode,Os,0.007706,0.000000,0.000000
02_cse_constantprop,O0,0.007436,0.000000,0.000000
02_cse_constantprop,O1,0.007342,0.000000,0.000000
02_cse_constantprop,O2,0.007517,0.000000,0.000000
02_cse_constantprop,O3,0.007515,0.000000,0.000000
02_cse_constantprop,Os,0.007585,0.000000,0.000000
03_strength_induction,O0,0.010324,0.000000,0.000000
03_strength_induction,O1,0.008315,0.000000,0.000000
03_strength_induction,O2,0.007340,0.000000,0.000000
03_strength_induction,O3,0.007139,0.000000,0.000000
03_strength_induction,Os,0.006893,0.000000,0.000000
04_loop_invariant_freq,O0,0.010060,0.000000,0.000000
04_loop_invariant_freq,O1,0.008477,0.000000,0.000000
04_loop_invariant_freq,O2,0.007612,0.000000,0.000000
04_loop_invariant_freq,O3,0.007616,0.000000,0.000000
04_loop_invariant_freq,Os,0.007018,0.000000,0.000000
05_loop_fusion_jamming,O0,0.019364,0.000000,0.000000
05_loop_fusion_jamming,O1,0.011655,0.000000,0.000000
05_loop_fusion_jamming,O2,0.012837,0.000000,0.000000
05_loop_fusion_jamming,O3,0.011648,0.000000,0.000000
05_loop_fusion_jamming,Os,0.012297,0.000000,0.000000
06_inlining_unrolling,O0,0.009439,0.000000,0.000000
06_inlining_unrolling,O1,0.008028,0.000000,0.000000
06_inlining_unrolling,O2,0.008020,0.000000,0.000000
06_inlining_unrolling,O3,0.008048,0.000000,0.000000
06_inlining_unrolling,Os,0.008620,0.000000,0.000000
07_combined_program_1,O0,0.014610,0.000000,0.000000
07_combined_program_1,O1,0.011973,0.000000,0.000000
07_combined_program_1,O2,0.012507,0.000000,0.000000
07_combined_program_1,O3,0.011250,0.000000,0.000000
07_combined_program_1,Os,0.011463,0.000000,0.000000
08_combined_program_2,O0,0.017260,0.000000,0.000000
08_combined_program_2,O1,0.011902,0.000000,0.000000
08_combined_program_2,O2,0.011833,0.000000,0.000000
08_combined_program_2,O3,0.011176,0.000000,0.000000
08_combined_program_2,Os,0.011928,0.000000,0.000000
